"","year","Tmax_C"
"1",1988,50.8
"2",1989,47.5666666666667
"3",1990,52.6333333333333
"4",1991,55.2
"5",1992,47.3333333333333
"6",1993,51.6333333333333
"7",1994,50.9
"8",1995,45.6
"9",1996,47.3333333333333
"10",1997,48.3
"11",1998,55.3666666666667
"12",1999,50.9666666666667
"13",2000,46.2666666666667
"14",2001,49.6666666666667
"15",2002,50.8
"16",2003,46.7333333333333
"17",2004,51.0333333333333
"18",2005,53.7666666666667
"19",2006,53
"20",2007,45.5
"21",2008,57.3
"22",2009,52.3666666666667
"23",2010,57.9
"24",2011,50
"25",2012,49.0666666666667
"26",2013,47.5666666666667
"27",2014,49.5
