"UNIQUE_ID","COLLECTION_ID","YEAR","SEASON","COLLECTION_START","COLLECTION_END","FOREST_TYPE","PLOT","YEBI_TOTAL","YEBI_CATEGORY","SUMA_TOTAL","SUMA_FULL","REMA_TOTAL","REMA_FULL","AMBE_HUSK","AMBE_TOTAL","AMBE_FULL","AMBE_VERTEBRATE_EATEN","AMBE_EMPTY","AMBE_INSECT_DAMAGE","RESP_TOTAL","RESP_FULL","EAHE_TOTAL","SP_FI_HE_TOTAL","NWCE_TOTAL","BAFI_TOTAL","PABI_TOTAL","OTHER_TOTAL","OTHER_SPP","COMMENTS","CENSOR"
"1988_1_934",1,1988,"F",19880812,19881109,"M",934,10,"L",1,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,38,0,0,0,0,NA,"5 open hemlock cones; 2 closed hemlock cones","N"
"1988_1_935",1,1988,"F",19880812,19881109,"M",935,9,"L",9,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,4,0,0,0,0,NA,NA,"N"
"1988_1_936",1,1988,"F",19880812,19881109,"M",936,17,"M",3,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,5,0,0,0,0,NA,NA,"N"
"1988_1_937",1,1988,"F",19880812,19881109,"M",937,22,"M",3,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,26,0,0,0,0,NA,"3 open hemlock cones; 3 closed hemlock cones","N"
"1988_1_938",1,1988,"F",19880812,19881109,"M",938,10,"L",7,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,23,0,0,0,0,NA,NA,"N"
"1988_1_939",1,1988,"F",19880812,19881109,"M",939,7,"L",10,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,12,0,0,0,0,NA,NA,"N"
"1988_1_940",1,1988,"F",19880812,19881109,"M",940,29,"M",7,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,3,0,0,0,0,NA,"1 closed hemlock cone","N"
"1988_1_941",1,1988,"F",19880812,19881109,"M",941,24,"M",6,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,5,0,0,0,0,NA,NA,"N"
"1988_1_942",1,1988,"F",19880812,19881109,"M",942,16,"M",8,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,0,6,0,0,0,0,NA,NA,"N"
"1988_1_943",1,1988,"F",19880812,19881109,"M",943,13,"M",24,NA,0,NA,NA,3,NA,NA,NA,NA,0,NA,0,5,0,0,0,0,NA,NA,"N"
"1988_1_944",1,1988,"F",19880812,19881109,"H",944,1,"L",11,NA,0,NA,NA,2,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
"1988_1_945",1,1988,"F",19880812,19881109,"H",945,1,"L",17,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,1,1,0,0,0,0,NA,NA,"N"
"1988_1_946",1,1988,"F",19880812,19881109,"H",946,1,"L",30,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,0,0,0,0,NA,NA,"N"
"1988_1_947",1,1988,"F",19880812,19881109,"H",947,1,"L",27,NA,0,NA,NA,3,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
"1988_1_948",1,1988,"F",19880812,19881109,"H",948,3,"L",29,NA,0,NA,NA,5,NA,NA,NA,NA,0,NA,0,2,0,0,0,0,NA,NA,"N"
"1988_1_949",1,1988,"F",19880812,19881109,"H",949,14,"M",29,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NA,NA,"N"
"1988_1_950",1,1988,"F",19880812,19881109,"H",950,3,"L",33,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
"1988_1_951",1,1988,"F",19880812,19881109,"H",951,40,"M",23,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,4,0,0,0,0,NA,NA,"N"
"1988_1_952",1,1988,"F",19880812,19881109,"H",952,29,"M",23,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,3,0,0,0,0,0,NA,NA,"N"
"1988_1_953",1,1988,"F",19880812,19881109,"H",953,8,"L",33,NA,0,NA,NA,6,NA,NA,NA,NA,0,NA,7,0,0,0,0,0,NA,NA,"N"
"1988_1_954",1,1988,"F",19880812,19881109,"H",954,18,"M",56,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,5,0,0,0,0,0,NA,NA,"N"
"1988_1_955",1,1988,"F",19880812,19881109,"H",955,15,"M",57,NA,0,NA,NA,10,NA,NA,NA,NA,0,NA,6,0,0,0,0,0,NA,NA,"N"
"1988_1_956",1,1988,"F",19880812,19881109,"H",956,1,"L",41,NA,0,NA,NA,4,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
"1988_1_957",1,1988,"F",19880812,19881109,"H",957,2,"L",45,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,2,0,0,0,0,0,NA,NA,"N"
"1988_1_958",1,1988,"F",19880812,19881109,"H",958,0,"N",48,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,2,0,0,0,0,0,NA,NA,"N"
"1988_1_959",1,1988,"F",19880812,19881109,"H",959,2,"L",45,NA,0,NA,NA,2,NA,NA,NA,NA,0,NA,1,0,0,0,0,0,NA,NA,"N"
"1988_1_960",1,1988,"F",19880812,19881109,"H",960,0,"N",36,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,1,0,0,0,0,0,NA,NA,"N"
"1988_1_961",1,1988,"F",19880812,19881109,"H",961,0,"N",39,NA,0,NA,NA,6,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
"1988_1_962",1,1988,"F",19880812,19881109,"H",962,4,"L",24,NA,0,NA,NA,3,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
"1988_1_963",1,1988,"F",19880812,19881109,"H",963,4,"L",15,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,2,0,0,0,0,0,NA,"mice in drying samples - CENSOR","Y"
"1988_1_964",1,1988,"F",19880812,19881109,"H",964,9,"L",9,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,2,0,0,0,0,0,NA,"1 open hemlock cone; mice in drying samples - CENSOR","Y"
"1988_1_965",1,1988,"F",19880812,19881109,"H",965,66,"H",12,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,"mice in drying samples - CENSOR","Y"
"1988_1_966",1,1988,"F",19880812,19881109,"H",966,21,"M",29,NA,0,NA,NA,5,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,"mice in drying samples - CENSOR","Y"
"1988_1_967",1,1988,"F",19880812,19881109,"H",967,10,"L",33,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
"1988_1_968",1,1988,"F",19880812,19881109,"H",968,11,"M",28,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,0,0,0,0,NA,NA,"N"
"1988_1_969",1,1988,"F",19880812,19881109,"M",969,9,"L",22,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,9,0,0,0,0,0,NA,"mice in drying samples - CENSOR","Y"
"1988_1_970",1,1988,"F",19880812,19881109,"M",970,271,"H",5,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,11,0,0,0,0,0,NA,NA,"N"
"1988_1_971",1,1988,"F",19880812,19881109,"M",971,59,"H",14,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,12,0,0,0,0,0,NA,NA,"N"
"1988_1_972",1,1988,"F",19880812,19881109,"M",972,42,"M",1,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,0,NA,NA,"N"
"1988_1_973",1,1988,"F",19880812,19881109,"M",973,17,"M",2,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,29,0,0,0,0,0,NA,"7 open hemlock cones; 3 closed hemlock cones","N"
"1988_1_974",1,1988,"F",19880812,19881109,"M",974,39,"M",0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,47,0,0,0,0,0,NA,NA,"N"
"1988_1_975",1,1988,"F",19880812,19881109,"M",975,11,"M",1,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,22,0,0,0,0,0,NA,"2 open hemlock cones","N"
"1988_1_976",1,1988,"F",19880812,19881109,"M",976,9,"L",0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,14,0,0,0,0,0,NA,NA,"N"
"1988_1_977",1,1988,"F",19880812,19881109,"M",977,14,"M",4,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,10,1,0,0,0,0,NA,"2 open hemlock cones","N"
"1988_1_978",1,1988,"F",19880812,19881109,"M",978,21,"M",1,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,14,0,0,0,0,0,NA,NA,"N"
"1988_1_979",1,1988,"F",19880812,19881109,"M",979,29,"M",3,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,8,0,0,0,0,0,NA,"4 open hemlock cones","N"
"1988_1_980",1,1988,"F",19880812,19881109,"M",980,3,"L",0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,9,0,0,0,0,0,NA,"5 open hemlock cones","N"
"1988_1_981",1,1988,"F",19880812,19881109,"M",981,23,"M",0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,3,0,0,0,0,0,NA,"1 cone","N"
"1988_1_982",1,1988,"F",19880812,19881109,"M",982,0,"N",0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,0,NA,"1 open hemlock cone; 6 cones","N"
"1988_1_983",1,1988,"F",19880812,19881109,"M",983,0,"N",0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,2,0,0,0,0,0,NA,NA,"N"
"1989_2_934",2,1989,"S",19881110,19890714,"M",934,6,"L",0,NA,0,NA,NA,0,NA,NA,NA,NA,43,NA,7,0,0,0,0,0,NA,NA,"N"
"1989_2_935",2,1989,"S",19881110,19890714,"M",935,6,"L",0,NA,7,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,0,0,0,0,NA,NA,"N"
"1989_2_936",2,1989,"S",19881110,19890714,"M",936,0,"N",0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
"1989_2_937",2,1989,"S",19881110,19890714,"M",937,0,"N",0,NA,4,NA,NA,0,NA,NA,NA,NA,10,NA,5,0,0,0,0,0,NA,NA,"N"
"1989_2_938",2,1989,"S",19881110,19890714,"M",938,8,"L",0,NA,6,NA,NA,0,NA,NA,NA,NA,0,NA,4,0,0,0,0,0,NA,NA,"N"
"1989_2_939",2,1989,"S",19881110,19890714,"M",939,4,"L",0,NA,2,NA,NA,0,NA,NA,NA,NA,0,NA,3,0,0,0,0,0,NA,NA,"N"
"1989_2_940",2,1989,"S",19881110,19890714,"M",940,31,"M",0,NA,5,NA,NA,1,NA,NA,NA,NA,0,NA,2,0,0,0,0,0,NA,NA,"N"
"1989_2_941",2,1989,"S",19881110,19890714,"M",941,4,"L",0,NA,12,NA,NA,0,NA,NA,NA,NA,103,NA,6,0,0,0,0,0,NA,NA,"N"
"1989_2_942",2,1989,"S",19881110,19890714,"M",942,4,"L",0,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,2,0,0,0,0,0,NA,NA,"N"
"1989_2_943",2,1989,"S",19881110,19890714,"M",943,4,"L",0,NA,2,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,"1 unid maple","N"
"1989_2_944",2,1989,"S",19881110,19890714,"H",944,3,"L",0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,"N"
