"","DATE","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","PRCP","SNOW","SNWD","TMAX","TMIN","YEAR","MONTH","DAY","SEASON"
"23887",1988-01-01,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.07,1.5,10,35,6,1988,1,1,"DJF"
"23888",1988-01-02,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,22,5,1988,1,2,"DJF"
"23889",1988-01-03,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,26,5,1988,1,3,"DJF"
"23890",1988-01-04,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.09,1.8,11,28,-1,1988,1,4,"DJF"
"23891",1988-01-05,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,0.5,10,23,-4,1988,1,5,"DJF"
"23892",1988-01-06,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,10,8,-14,1988,1,6,"DJF"
"23893",1988-01-07,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,10,-16,1988,1,7,"DJF"
"23894",1988-01-08,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.08,2,12,15,-16,1988,1,8,"DJF"
"23895",1988-01-09,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.01,0.4,12,21,-9,1988,1,9,"DJF"
"23896",1988-01-10,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,11,18,-21,1988,1,10,"DJF"
"23897",1988-01-11,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,10,23,-23,1988,1,11,"DJF"
"23898",1988-01-12,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,10,32,7,1988,1,12,"DJF"
"23899",1988-01-13,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.04,0.3,10,34,-23,1988,1,13,"DJF"
"23900",1988-01-14,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,-3,-27,1988,1,14,"DJF"
"23901",1988-01-15,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,16,-27,1988,1,15,"DJF"
"23902",1988-01-16,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,37,-4,1988,1,16,"DJF"
"23903",1988-01-17,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.12,0,8,43,9,1988,1,17,"DJF"
"23904",1988-01-18,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.34,0,8,36,29,1988,1,18,"DJF"
"23905",1988-01-19,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,8,34,19,1988,1,19,"DJF"
"23906",1988-01-20,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.49,1,9,31,19,1988,1,20,"DJF"
"23907",1988-01-21,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,0.6,9,34,-2,1988,1,21,"DJF"
"23908",1988-01-22,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,27,-15,1988,1,22,"DJF"
"23909",1988-01-23,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,25,-15,1988,1,23,"DJF"
"23910",1988-01-24,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0.5,9,28,1,1988,1,24,"DJF"
"23911",1988-01-25,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.34,5,14,31,19,1988,1,25,"DJF"
"23912",1988-01-26,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0.2,13,26,-8,1988,1,26,"DJF"
"23913",1988-01-27,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,13,11,-19,1988,1,27,"DJF"
"23914",1988-01-28,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0.8,14,17,-19,1988,1,28,"DJF"
"23915",1988-01-29,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,13,23,-12,1988,1,29,"DJF"
"23916",1988-01-30,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,9,40,14,1988,1,30,"DJF"
"23917",1988-01-31,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,7,57,40,1988,1,31,"DJF"
"23918",1988-02-01,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.25,0,5,49,32,1988,2,1,"DJF"
"23919",1988-02-02,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.07,0.5,5,40,1,1988,2,2,"DJF"
"23920",1988-02-03,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.32,3.5,8,25,1,1988,2,3,"DJF"
"23921",1988-02-04,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.21,3,11,25,-5,1988,2,4,"DJF"
"23922",1988-02-05,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0.4,11,12,-14,1988,2,5,"DJF"
"23923",1988-02-06,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,11,12,-21,1988,2,6,"DJF"
"23924",1988-02-07,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,0.5,10,15,-21,1988,2,7,"DJF"
"23925",1988-02-08,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,10,18,-15,1988,2,8,"DJF"
"23926",1988-02-09,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.07,1.3,11,22,-16,1988,2,9,"DJF"
"23927",1988-02-10,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,10,24,-11,1988,2,10,"DJF"
"23928",1988-02-11,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.16,2,12,23,-11,1988,2,11,"DJF"
"23929",1988-02-12,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.41,6.9,18,26,13,1988,2,12,"DJF"
"23930",1988-02-13,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,5,16,23,4,1988,2,13,"DJF"
"23931",1988-02-14,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,16,24,4,1988,2,14,"DJF"
"23932",1988-02-15,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.35,4,20,35,9,1988,2,15,"DJF"
"23933",1988-02-16,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.01,0.3,19,34,11,1988,2,16,"DJF"
"23934",1988-02-17,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,19,32,11,1988,2,17,"DJF"
"23935",1988-02-18,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,18,36,-3,1988,2,18,"DJF"
"23936",1988-02-19,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.68,6.5,24,39,-3,1988,2,19,"DJF"
"23937",1988-02-20,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0.4,21,36,3,1988,2,20,"DJF"
"23938",1988-02-21,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,21,31,-10,1988,2,21,"DJF"
"23939",1988-02-22,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,21,37,-10,1988,2,22,"DJF"
"23940",1988-02-23,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.07,0.5,20,38,6,1988,2,23,"DJF"
"23941",1988-02-24,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,1,21,26,-8,1988,2,24,"DJF"
"23942",1988-02-25,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0.2,21,23,-10,1988,2,25,"DJF"
"23943",1988-02-26,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,20,25,-10,1988,2,26,"DJF"
"23944",1988-02-27,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,20,30,-11,1988,2,27,"DJF"
"23945",1988-02-28,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,20,32,-11,1988,2,28,"DJF"
"23946",1988-02-29,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,1,20,34,6,1988,2,29,"DJF"
"23947",1988-03-01,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,20,26,-17,1988,3,1,"MAM"
"23948",1988-03-02,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0.2,19,40,-17,1988,3,2,"MAM"
"23949",1988-03-03,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,0.5,19,38,18,1988,3,3,"MAM"
"23950",1988-03-04,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,19,30,7,1988,3,4,"MAM"
"23951",1988-03-05,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,20,28,-12,1988,3,5,"MAM"
"23952",1988-03-06,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,19,46,-12,1988,3,6,"MAM"
"23953",1988-03-07,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,18,40,4,1988,3,7,"MAM"
"23954",1988-03-08,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,17,46,4,1988,3,8,"MAM"
"23955",1988-03-09,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.24,0,15,47,25,1988,3,9,"MAM"
"23956",1988-03-10,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,15,41,19,1988,3,10,"MAM"
"23957",1988-03-11,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,15,29,8,1988,3,11,"MAM"
"23958",1988-03-12,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.12,0,15,40,8,1988,3,12,"MAM"
"23959",1988-03-13,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0,14,37,28,1988,3,13,"MAM"
"23960",1988-03-14,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0,14,34,16,1988,3,14,"MAM"
"23961",1988-03-15,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.12,2.3,16,28,16,1988,3,15,"MAM"
"23962",1988-03-16,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0,17,32,8,1988,3,16,"MAM"
"23963",1988-03-17,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,16,39,5,1988,3,17,"MAM"
"23964",1988-03-18,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.1,1.5,17,36,5,1988,3,18,"MAM"
"23965",1988-03-19,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.1,3,20,30,-4,1988,3,19,"MAM"
"23966",1988-03-20,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0,17,24,-11,1988,3,20,"MAM"
"23967",1988-03-21,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,16,13,-11,1988,3,21,"MAM"
"23968",1988-03-22,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,16,28,-10,1988,3,22,"MAM"
"23969",1988-03-23,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0,15,45,-8,1988,3,23,"MAM"
"23970",1988-03-24,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0,13,53,29,1988,3,24,"MAM"
"23971",1988-03-25,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.53,0,8,57,29,1988,3,25,"MAM"
"23972",1988-03-26,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.16,0,6,53,36,1988,3,26,"MAM"
"23973",1988-03-27,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.12,0.7,6,44,22,1988,3,27,"MAM"
"23974",1988-03-28,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,5,37,16,1988,3,28,"MAM"
"23975",1988-03-29,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,4,52,16,1988,3,29,"MAM"
"23976",1988-03-30,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,2,60,26,1988,3,30,"MAM"
"23977",1988-03-31,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,58,26,1988,3,31,"MAM"
"23978",1988-04-01,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,54,26,1988,4,1,"MAM"
"23979",1988-04-02,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,0,0,60,32,1988,4,2,"MAM"
"23980",1988-04-03,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.11,0,0,52,34,1988,4,3,"MAM"
"23981",1988-04-04,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.16,0,0,56,40,1988,4,4,"MAM"
"23982",1988-04-05,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,55,28,1988,4,5,"MAM"
"23983",1988-04-06,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,62,28,1988,4,6,"MAM"
"23984",1988-04-07,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,65,33,1988,4,7,"MAM"
"23985",1988-04-08,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.01,0,0,57,34,1988,4,8,"MAM"
"23986",1988-04-09,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,48,32,1988,4,9,"MAM"
"23987",1988-04-10,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,52,28,1988,4,10,"MAM"
"23988",1988-04-11,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,56,23,1988,4,11,"MAM"
"23989",1988-04-12,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,56,23,1988,4,12,"MAM"
"23990",1988-04-13,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,57,28,1988,4,13,"MAM"
"23991",1988-04-14,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,54,31,1988,4,14,"MAM"
"23992",1988-04-15,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.27,3,3,51,19,1988,4,15,"MAM"
"23993",1988-04-16,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.08,1,2,35,19,1988,4,16,"MAM"
"23994",1988-04-17,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.05,0,0,56,29,1988,4,17,"MAM"
"23995",1988-04-18,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,55,24,1988,4,18,"MAM"
"23996",1988-04-19,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,1,1,38,24,1988,4,19,"MAM"
"23997",1988-04-20,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.09,1.5,2,39,24,1988,4,20,"MAM"
"23998",1988-04-21,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.04,0,0,41,27,1988,4,21,"MAM"
"23999",1988-04-22,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,44,23,1988,4,22,"MAM"
"24000",1988-04-23,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.19,0,0,48,23,1988,4,23,"MAM"
"24001",1988-04-24,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.13,0,0,39,34,1988,4,24,"MAM"
"24002",1988-04-25,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0,0,42,23,1988,4,25,"MAM"
"24003",1988-04-26,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,56,23,1988,4,26,"MAM"
"24004",1988-04-27,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.36,0,0,62,25,1988,4,27,"MAM"
"24005",1988-04-28,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.97,0,0,45,36,1988,4,28,"MAM"
"24006",1988-04-29,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.29,0,0,44,30,1988,4,29,"MAM"
"24007",1988-04-30,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.03,0,0,45,30,1988,4,30,"MAM"
"24008",1988-05-01,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,50,28,1988,5,1,"MAM"
"24009",1988-05-02,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,54,28,1988,5,2,"MAM"
"24010",1988-05-03,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,57,27,1988,5,3,"MAM"
"24011",1988-05-04,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,67,27,1988,5,4,"MAM"
"24012",1988-05-05,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,70,29,1988,5,5,"MAM"
"24013",1988-05-06,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,73,42,1988,5,6,"MAM"
"24014",1988-05-07,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,71,26,1988,5,7,"MAM"
"24015",1988-05-08,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,74,26,1988,5,8,"MAM"
"24016",1988-05-09,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,70,38,1988,5,9,"MAM"
"24017",1988-05-10,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.04,0,0,65,43,1988,5,10,"MAM"
"24018",1988-05-11,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,58,26,1988,5,11,"MAM"
"24019",1988-05-12,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,71,26,1988,5,12,"MAM"
"24020",1988-05-13,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.09,0,0,78,30,1988,5,13,"MAM"
"24021",1988-05-14,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,64,26,1988,5,14,"MAM"
"24022",1988-05-15,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,76,26,1988,5,15,"MAM"
"24023",1988-05-16,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.5,0,0,70,45,1988,5,16,"MAM"
"24024",1988-05-17,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.01,0,0,64,42,1988,5,17,"MAM"
"24025",1988-05-18,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.08,0,0,59,42,1988,5,18,"MAM"
"24026",1988-05-19,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.29,0,0,59,53,1988,5,19,"MAM"
"24027",1988-05-20,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.34,0,0,63,53,1988,5,20,"MAM"
"24028",1988-05-21,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.25,0,0,64,51,1988,5,21,"MAM"
"24029",1988-05-22,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,75,47,1988,5,22,"MAM"
"24030",1988-05-23,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,76,47,1988,5,23,"MAM"
"24031",1988-05-24,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,71,40,1988,5,24,"MAM"
"24032",1988-05-25,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,63,36,1988,5,25,"MAM"
"24033",1988-05-26,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,62,36,1988,5,26,"MAM"
"24034",1988-05-27,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,77,38,1988,5,27,"MAM"
"24035",1988-05-28,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,82,42,1988,5,28,"MAM"
"24036",1988-05-29,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.02,0,0,79,47,1988,5,29,"MAM"
"24037",1988-05-30,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.13,0,0,83,47,1988,5,30,"MAM"
"24038",1988-05-31,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,80,46,1988,5,31,"MAM"
"24039",1988-06-01,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,69,38,1988,6,1,"JJA"
"24040",1988-06-02,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,59,37,1988,6,2,"JJA"
"24041",1988-06-03,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,58,33,1988,6,3,"JJA"
"24042",1988-06-04,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,65,42,1988,6,4,"JJA"
"24043",1988-06-05,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,74,47,1988,6,5,"JJA"
"24044",1988-06-06,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,69,43,1988,6,6,"JJA"
"24045",1988-06-07,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,64,28,1988,6,7,"JJA"
"24046",1988-06-08,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,62,30,1988,6,8,"JJA"
"24047",1988-06-09,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,63,27,1988,6,9,"JJA"
"24048",1988-06-10,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,61,29,1988,6,10,"JJA"
"24049",1988-06-11,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,76,39,1988,6,11,"JJA"
"24050",1988-06-12,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,86,46,1988,6,12,"JJA"
"24051",1988-06-13,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,89,44,1988,6,13,"JJA"
"24052",1988-06-14,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,90,52,1988,6,14,"JJA"
"24053",1988-06-15,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,92,53,1988,6,15,"JJA"
"24054",1988-06-16,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.01,0,0,88,52,1988,6,16,"JJA"
"24055",1988-06-17,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,78,41,1988,6,17,"JJA"
"24056",1988-06-18,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,79,38,1988,6,18,"JJA"
"24057",1988-06-19,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,85,45,1988,6,19,"JJA"
"24058",1988-06-20,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,89,53,1988,6,20,"JJA"
"24059",1988-06-21,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.01,0,0,84,46,1988,6,21,"JJA"
"24060",1988-06-22,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0.49,0,0,84,52,1988,6,22,"JJA"
"24061",1988-06-23,"USC00305714","NEWCOMB, NY US",43.9707,-74.222,502,0,0,0,75,30,1988,6,23,"JJA"
